https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1650499200000,2022-04-21 00:00:00,REP/USD,13.925,14.532,13.747,14.057,2492.9683688467003,177.3471131
1650412800000,2022-04-20 00:00:00,REP/USD,13.991,14.264,13.624,13.899,1424.1368214131098,102.46325789
1650326400000,2022-04-19 00:00:00,REP/USD,13.569,14.144,13.461,14.019,2014.6543106721,143.7088459
1650240000000,2022-04-18 00:00:00,REP/USD,13.452,13.581,12.831,13.534,1959.5041342097802,144.78381367
1650153600000,2022-04-17 00:00:00,REP/USD,13.755,13.866,13.461,13.461,989.1302493227399,73.48118634
1650067200000,2022-04-16 00:00:00,REP/USD,13.704,13.762,13.463,13.745,1078.59946574835,78.47213283
1649980800000,2022-04-15 00:00:00,REP/USD,13.588,13.816,13.479,13.725,1638.52007915925,119.38215513
1649894400000,2022-04-14 00:00:00,REP/USD,13.974,14.08,13.438,13.569,1799.68790693058,132.63231682
1649808000000,2022-04-13 00:00:00,REP/USD,13.56,14.019,13.368,13.985,2325.2034924821,166.26410386
1649721600000,2022-04-12 00:00:00,REP/USD,13.02,13.864,12.895,13.489,3522.26280642971,261.12112139
1649635200000,2022-04-11 00:00:00,REP/USD,14.232,14.482,12.955,13.011,5331.1907494779,409.7448889
1649548800000,2022-04-10 00:00:00,REP/USD,14.426,14.768,14.161,14.243,1673.30969601825,117.48295275
1649462400000,2022-04-09 00:00:00,REP/USD,14.134,14.445,14.072,14.445,1353.7550470104,93.71789872
1649376000000,2022-04-08 00:00:00,REP/USD,14.7,14.849,14.091,14.151,3552.4240319977803,251.03696078000002
1649289600000,2022-04-07 00:00:00,REP/USD,14.373,14.799,14.239,14.717,2797.84149016035,190.10949855
1649203200000,2022-04-06 00:00:00,REP/USD,15.807,15.807,14.267,14.354,4991.92727427852,347.77255638
1649116800000,2022-04-05 00:00:00,REP/USD,16.424,16.424,15.738,15.834,2676.6314514849,169.04328985
1649030400000,2022-04-04 00:00:00,REP/USD,16.769,17.969,15.479,16.126,8559.60702048606,530.79542481
1648944000000,2022-04-03 00:00:00,REP/USD,17.127,17.127,16.468,16.814,2288.4550994104798,136.10414532
1648857600000,2022-04-02 00:00:00,REP/USD,16.651,17.306,16.519,17.076,6416.34714413916,375.75235091
1648771200000,2022-04-01 00:00:00,REP/USD,16.115,16.957,15.783,16.671,5547.3615540999,332.7551769
1648684800000,2022-03-31 00:00:00,REP/USD,16.267,17.193,15.741,16.113,8876.69042356725,550.90240325
1648598400000,2022-03-30 00:00:00,REP/USD,16.081,16.464,15.702,16.333,4298.28507789946,263.16568162
1648512000000,2022-03-29 00:00:00,REP/USD,16.101,16.634,15.716,16.152,4096.46907237192,253.61992771
1648425600000,2022-03-28 00:00:00,REP/USD,15.967,16.364,15.692,16.148,6541.7110152675605,405.10967397
1648339200000,2022-03-27 00:00:00,REP/USD,15.33,16.381,15.231,15.949,9222.68307145242,578.26089858
1648252800000,2022-03-26 00:00:00,REP/USD,14.613,15.41,14.613,15.289,7842.655144692751,512.96063475
1648166400000,2022-03-25 00:00:00,REP/USD,14.723,14.991,14.504,14.603,4591.79208332931,314.44169577
1648080000000,2022-03-24 00:00:00,REP/USD,14.572,14.715,14.285,14.705,4262.8604867000495,289.89190661
