https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XVG
1707091200000,2024-02-05 00:00:00,XVG/USD,0.0030647,0.0031797,0.0030411,0.0031418,215.22693092337317,68504.33857132
1707004800000,2024-02-04 00:00:00,XVG/USD,0.0031447,0.0031447,0.0030551,0.0030551,210.1211723102131,68777.18317247
1706918400000,2024-02-03 00:00:00,XVG/USD,0.0031902,0.003204,0.0031119,0.0031308,409.88572592532864,130920.44395213001
1706832000000,2024-02-02 00:00:00,XVG/USD,0.0031585,0.0032027,0.0031339,0.0031865,507.5977455756205,159296.32687137
1706745600000,2024-02-01 00:00:00,XVG/USD,0.003133,0.0031919,0.0030743,0.0031741,691.3108352562576,217797.43399900998
1706659200000,2024-01-31 00:00:00,XVG/USD,0.0032444,0.0032646,0.0031084,0.0031249,513.7487597846539,164404.86408674
1706572800000,2024-01-30 00:00:00,XVG/USD,0.0032664,0.0033309,0.0032138,0.003236,213.8887850464326,66096.65792535
1706486400000,2024-01-29 00:00:00,XVG/USD,0.0031453,0.0032688,0.0031323,0.0032649,7608.331414359122,2330341.33185063
1706400000000,2024-01-28 00:00:00,XVG/USD,0.0032108,0.0032315,0.0031189,0.0031611,199.3797267697153,63072.89448917
1706313600000,2024-01-27 00:00:00,XVG/USD,0.0031923,0.0032329,0.0031172,0.003197,213.6373814017811,66824.32949696
1706227200000,2024-01-26 00:00:00,XVG/USD,0.003085,0.0032011,0.0030774,0.0031823,200.1619252073116,62898.50900522
1706140800000,2024-01-25 00:00:00,XVG/USD,0.0031117,0.0031349,0.002998,0.0031064,522.0580166245916,168058.85160462
1706054400000,2024-01-24 00:00:00,XVG/USD,0.0030865,0.0031443,0.0030459,0.0031123,198.35832411207713,63733.67738074
1705968000000,2024-01-23 00:00:00,XVG/USD,0.0031963,0.0032244,0.0029413,0.0031039,530.6747399692754,170970.30831189
1705881600000,2024-01-22 00:00:00,XVG/USD,0.0033961,0.0034282,0.003162,0.003162,478.8827005148553,151449.30440065
1705795200000,2024-01-21 00:00:00,XVG/USD,0.0033602,0.0036018,0.003353,0.0034058,242.8480165728806,71304.25056459
1705708800000,2024-01-20 00:00:00,XVG/USD,0.003268,0.0034448,0.0032273,0.0033824,1053.323395272837,311413.01894301
1705622400000,2024-01-19 00:00:00,XVG/USD,0.0033495,0.0033495,0.0031144,0.0032654,203.16184472904135,62216.52622314
1705536000000,2024-01-18 00:00:00,XVG/USD,0.0035991,0.0036351,0.0032778,0.0033258,282.09707770893823,84820.81836218
1705449600000,2024-01-17 00:00:00,XVG/USD,0.003678,0.0036942,0.0035557,0.0036006,337.34274887770516,93690.70401536
1705363200000,2024-01-16 00:00:00,XVG/USD,0.0035077,0.0037017,0.0034712,0.0036469,268.9177456446151,73738.72210497
1705276800000,2024-01-15 00:00:00,XVG/USD,0.003445,0.0035874,0.0034336,0.0034966,253.4701160555516,72490.4524554
1705190400000,2024-01-14 00:00:00,XVG/USD,0.0036435,0.0036435,0.0033987,0.0033987,222.47711278310402,65459.47355845
1705104000000,2024-01-13 00:00:00,XVG/USD,0.0034361,0.0036758,0.0034361,0.0036563,348.0498698820884,95191.82503681
1705017600000,2024-01-12 00:00:00,XVG/USD,0.0037758,0.0038389,0.0034902,0.0035635,255.1160391001491,71591.42390912
1704931200000,2024-01-11 00:00:00,XVG/USD,0.0036292,0.0037962,0.003583,0.003728,718.5406415609783,192741.58840155
1704844800000,2024-01-10 00:00:00,XVG/USD,0.0032927,0.0037154,0.0032787,0.0036132,1398.0281838393037,386922.44654027
1704758400000,2024-01-09 00:00:00,XVG/USD,0.0035509,0.0035509,0.0031785,0.003276,643.3001492197972,196367.56691691
1704672000000,2024-01-08 00:00:00,XVG/USD,0.0031959,0.0035425,0.003,0.0035229,722.0290815331067,204953.04480204
1704585600000,2024-01-07 00:00:00,XVG/USD,0.0034131,0.003513,0.003223,0.0032407,267.3740263492832,82505.02247949
1704499200000,2024-01-06 00:00:00,XVG/USD,0.0035383,0.0035412,0.0032535,0.003401,1554.2767506909668,457005.80731872004
1704412800000,2024-01-05 00:00:00,XVG/USD,0.0036716,0.0036898,0.0034062,0.0035316,688.8118639061322,195042.43513029
1704326400000,2024-01-04 00:00:00,XVG/USD,0.0034817,0.0036849,0.0034817,0.0036749,1033.977094336608,281361.96749207
1704240000000,2024-01-03 00:00:00,XVG/USD,0.0040279,0.0040593,0.0034156,0.0035072,2330.993185250823,664630.81240044
1704153600000,2024-01-02 00:00:00,XVG/USD,0.0040848,0.0041822,0.0038524,0.0039901,1837.654088540221,460553.39177971
1704067200000,2024-01-01 00:00:00,XVG/USD,0.0039436,0.0041293,0.0038195,0.0040803,1549.170686117801,379670.78060873
1703980800000,2023-12-31 00:00:00,XVG/USD,0.0036589,0.004609,0.0036589,0.0039636,14724.55857497328,3714945.64915059
1703894400000,2023-12-30 00:00:00,XVG/USD,0.0037339,0.0038209,0.003559,0.0036654,635.2403063708176,173307.22605195
1703808000000,2023-12-29 00:00:00,XVG/USD,0.0038687,0.0039763,0.0036751,0.0037469,1939.5165209085615,517632.31495598
1703721600000,2023-12-28 00:00:00,XVG/USD,0.0039623,0.0040772,0.0037572,0.0039493,1157.1829568167557,293009.63634486
1703635200000,2023-12-27 00:00:00,XVG/USD,0.0039107,0.0040008,0.0037195,0.0039481,2155.7624765253354,546025.29736464
1703548800000,2023-12-26 00:00:00,XVG/USD,0.0037618,0.0040054,0.0036824,0.0039109,1554.8907400276755,397578.75170106
1703462400000,2023-12-25 00:00:00,XVG/USD,0.0037332,0.0038714,0.0036939,0.0037918,358.4864459196157,94542.5512737
1703376000000,2023-12-24 00:00:00,XVG/USD,0.003707,0.0038299,0.0036215,0.0037121,833.0518471620627,224415.24936344998
1703289600000,2023-12-23 00:00:00,XVG/USD,0.0037109,0.0037396,0.0035855,0.0037317,1097.101199973388,293995.01566937
1703203200000,2023-12-22 00:00:00,XVG/USD,0.0035409,0.0037234,0.0035166,0.0037069,716.8057033319612,193370.66101917
1703116800000,2023-12-21 00:00:00,XVG/USD,0.0035117,0.0036044,0.0034657,0.0035643,1014.8411686513782,284723.83599904
1703030400000,2023-12-20 00:00:00,XVG/USD,0.0033147,0.0035561,0.0032839,0.0035141,1141.4728101854178,324826.50185977
1702944000000,2023-12-19 00:00:00,XVG/USD,0.0033986,0.0034947,0.0032731,0.0033005,209.16795228351836,63374.62574868
1702857600000,2023-12-18 00:00:00,XVG/USD,0.003438,0.0034567,0.0032,0.0034091,593.8486626234608,174195.1431825
1702771200000,2023-12-17 00:00:00,XVG/USD,0.0036312,0.0036312,0.0034355,0.0034355,1535.346589241704,446906.29871684
1702684800000,2023-12-16 00:00:00,XVG/USD,0.0035302,0.003691,0.0035065,0.003625,1215.8657007355964,335411.22778913
1702598400000,2023-12-15 00:00:00,XVG/USD,0.0037321,0.0037903,0.0035371,0.0035444,1965.2065444427262,554453.9398608301
1702512000000,2023-12-14 00:00:00,XVG/USD,0.0037638,0.0037918,0.0036358,0.0037409,514.3259770385213,137487.22955399
1702425600000,2023-12-13 00:00:00,XVG/USD,0.0037088,0.0037793,0.0034641,0.0037443,2836.284375794484,757493.89092607
1702339200000,2023-12-12 00:00:00,XVG/USD,0.003612,0.0037423,0.0035773,0.0036802,1649.6671935325369,448254.7670052
