https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1705795200000,2024-01-21 00:00:00,OMG/USD,0.69619,0.8285,0.69187,0.75246,189340.42581010453,251628.55940529
1705708800000,2024-01-20 00:00:00,OMG/USD,0.68008,0.73367,0.67261,0.69491,56511.4507918926,81321.97089104
1705622400000,2024-01-19 00:00:00,OMG/USD,0.65828,0.72158,0.62195,0.68192,26390.96250466065,38700.96566263
1705536000000,2024-01-18 00:00:00,OMG/USD,0.69366,0.69779,0.6501,0.65849,8868.080041342555,13467.29645301
1705449600000,2024-01-17 00:00:00,OMG/USD,0.70353,0.70504,0.6691,0.69312,64539.83367606082,93114.94932488
1705363200000,2024-01-16 00:00:00,OMG/USD,0.69726,0.74184,0.679,0.70067,25061.312928663167,35767.6408704
1705276800000,2024-01-15 00:00:00,OMG/USD,0.68878,0.71223,0.68478,0.69705,12371.672987530555,17748.61629371
1705190400000,2024-01-14 00:00:00,OMG/USD,0.7201,0.72355,0.68633,0.68633,50384.50670457628,73411.48821205
1705104000000,2024-01-13 00:00:00,OMG/USD,0.72352,0.73213,0.69001,0.72208,14531.811438979115,20124.93274842
1705017600000,2024-01-12 00:00:00,OMG/USD,0.76404,0.77367,0.69757,0.72135,26576.13818278878,36842.22386191
1704931200000,2024-01-11 00:00:00,OMG/USD,0.74776,0.77986,0.73586,0.76426,32967.60424710328,43136.63445307
1704844800000,2024-01-10 00:00:00,OMG/USD,0.68534,0.76029,0.67766,0.74571,34900.81853362109,46802.13291175
1704758400000,2024-01-09 00:00:00,OMG/USD,0.70454,0.71722,0.6501,0.68501,52275.64418030939,76313.69495381
1704672000000,2024-01-08 00:00:00,OMG/USD,0.66189,0.70747,0.60557,0.70462,96408.44905209354,136823.3218644
1704585600000,2024-01-07 00:00:00,OMG/USD,0.70844,0.72341,0.65616,0.6619,16701.300518926393,25232.36216789
1704499200000,2024-01-06 00:00:00,OMG/USD,0.74047,0.74047,0.6826,0.71051,33294.078044264,46859.40809315
1704412800000,2024-01-05 00:00:00,OMG/USD,0.77379,0.77892,0.71448,0.73984,19997.2119931007,27029.10358064
1704326400000,2024-01-04 00:00:00,OMG/USD,0.75104,0.78975,0.7401,0.77514,46520.8376063206,60016.04562572
1704240000000,2024-01-03 00:00:00,OMG/USD,0.869,0.89663,0.6666,0.74964,144585.30204677628,192872.98176028
1704153600000,2024-01-02 00:00:00,OMG/USD,0.86557,0.889,0.85388,0.86271,33899.86646105561,39294.62561122
1704067200000,2024-01-01 00:00:00,OMG/USD,0.83508,0.86574,0.808,0.8628,12022.389082720836,13934.15517237
1703980800000,2023-12-31 00:00:00,OMG/USD,0.83523,0.86621,0.80903,0.82995,11654.612021998604,14042.5471679
1703894400000,2023-12-30 00:00:00,OMG/USD,0.84774,0.8608,0.82414,0.83783,10505.448285374452,12538.87815592
1703808000000,2023-12-29 00:00:00,OMG/USD,0.86503,0.88152,0.83001,0.84804,34242.1219995592,40377.95622796
1703721600000,2023-12-28 00:00:00,OMG/USD,0.9208,0.93357,0.85696,0.86402,41757.2653627452,48329.04951592
1703635200000,2023-12-27 00:00:00,OMG/USD,0.86786,0.93628,0.84001,0.92101,58812.69321637724,63856.736861030004
1703548800000,2023-12-26 00:00:00,OMG/USD,0.9244,0.93399,0.8208,0.86473,53229.7438798787,61556.49032632
1703462400000,2023-12-25 00:00:00,OMG/USD,0.88605,0.9443,0.87381,0.92472,58268.03035499169,63011.5390118
1703376000000,2023-12-24 00:00:00,OMG/USD,0.85986,0.96321,0.85515,0.89023,141522.39400945045,158972.84298378
1703289600000,2023-12-23 00:00:00,OMG/USD,0.86961,0.86961,0.814,0.86287,41798.42433538343,48441.16070252
1703203200000,2023-12-22 00:00:00,OMG/USD,0.82544,0.87109,0.80985,0.87079,97672.29497229663,112165.15459789
1703116800000,2023-12-21 00:00:00,OMG/USD,0.80388,0.82986,0.80217,0.8239,50571.637988389055,61380.79619904
1703030400000,2023-12-20 00:00:00,OMG/USD,0.80775,0.83801,0.79353,0.80698,19141.933174193047,23720.45549356
1702944000000,2023-12-19 00:00:00,OMG/USD,0.81375,0.84682,0.80484,0.81006,39921.3061734423,49281.91266504
1702857600000,2023-12-18 00:00:00,OMG/USD,0.79464,0.82773,0.73821,0.81847,116972.58730308703,142916.15734613
1702771200000,2023-12-17 00:00:00,OMG/USD,0.839,0.86258,0.78688,0.79217,51919.46349160488,65540.8100428
1702684800000,2023-12-16 00:00:00,OMG/USD,0.82859,0.84574,0.79594,0.83806,68152.73042368494,81322.0180222
1702598400000,2023-12-15 00:00:00,OMG/USD,0.91907,0.94,0.82042,0.82606,219882.86800248423,266182.68406954
1702512000000,2023-12-14 00:00:00,OMG/USD,0.72882,1.0245,0.70548,0.93579,260437.4056476669,278307.53229642
1702425600000,2023-12-13 00:00:00,OMG/USD,0.72294,0.73017,0.67493,0.72564,52847.51771541818,72828.83759911
1702339200000,2023-12-12 00:00:00,OMG/USD,0.67714,0.75123,0.67616,0.72527,57120.82764925933,78758.01790955
1702252800000,2023-12-11 00:00:00,OMG/USD,0.75436,0.75743,0.65447,0.67886,49373.46623608678,72729.96823511
1702166400000,2023-12-10 00:00:00,OMG/USD,0.73643,0.76272,0.70327,0.75245,19493.33313198054,25906.48299818
1702080000000,2023-12-09 00:00:00,OMG/USD,0.72843,0.75748,0.72348,0.73287,31488.07410214992,42965.42920593
1701993600000,2023-12-08 00:00:00,OMG/USD,0.69445,0.73098,0.69384,0.72729,17098.32727457393,23509.64164855
1701907200000,2023-12-07 00:00:00,OMG/USD,0.68105,0.70031,0.66924,0.69507,88439.15434572444,127237.7664778
1701820800000,2023-12-06 00:00:00,OMG/USD,0.689,0.70924,0.6573,0.68408,35344.28471217431,51666.88795488
1701734400000,2023-12-05 00:00:00,OMG/USD,0.6699,0.68772,0.6577,0.68772,28726.094433784612,41770.04367153
1701648000000,2023-12-04 00:00:00,OMG/USD,0.65007,0.70039,0.63001,0.66928,139578.28613261893,208549.91353786
1701561600000,2023-12-03 00:00:00,OMG/USD,0.65876,0.66845,0.64181,0.64994,72167.04114389262,111036.46666445
1701475200000,2023-12-02 00:00:00,OMG/USD,0.64395,0.66084,0.63784,0.65781,15188.560705918377,23089.5862117
1701388800000,2023-12-01 00:00:00,OMG/USD,0.62982,0.64864,0.6286,0.64211,43640.28258250972,67963.87314091
1701302400000,2023-11-30 00:00:00,OMG/USD,0.6313,0.64394,0.62542,0.6314,121840.89492348819,192969.42496593
1701216000000,2023-11-29 00:00:00,OMG/USD,0.64226,0.645,0.6255,0.6313,104300.01742300976,165214.66406306
1701129600000,2023-11-28 00:00:00,OMG/USD,0.62581,0.64542,0.6039,0.64206,41654.43417209567,64876.23301887
