https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAT
1713052800000,2024-04-14 00:00:00,BAT/USD,0.24104,0.26003,0.23008,0.2586,9993.699328811315,38645.39570306
1712966400000,2024-04-13 00:00:00,BAT/USD,0.28656,0.28696,0.21234,0.24133,19535.703155106683,80950.16431901
1712880000000,2024-04-12 00:00:00,BAT/USD,0.32424,0.3523,0.2634,0.28696,20505.084366542433,71456.24605012
1712793600000,2024-04-11 00:00:00,BAT/USD,0.3258,0.33429,0.31531,0.32573,1874.384555190551,5754.4117987
1712707200000,2024-04-10 00:00:00,BAT/USD,0.31892,0.3231,0.29836,0.3231,3989.215022660352,12346.68840192
1712620800000,2024-04-09 00:00:00,BAT/USD,0.32379,0.33533,0.30724,0.31767,63985.82856534776,201422.32053813
1712534400000,2024-04-08 00:00:00,BAT/USD,0.30175,0.32487,0.29431,0.32312,11604.434586249585,35913.69951179
1712448000000,2024-04-07 00:00:00,BAT/USD,0.29607,0.30255,0.29553,0.30236,1025.3054312810573,3391.00883477
1712361600000,2024-04-06 00:00:00,BAT/USD,0.29295,0.29838,0.29144,0.29539,357.3890408991092,1209.88876028
1712275200000,2024-04-05 00:00:00,BAT/USD,0.29538,0.29838,0.28,0.29404,579.7869898328265,1971.79631966
1712188800000,2024-04-04 00:00:00,BAT/USD,0.28451,0.30089,0.28079,0.29659,580.2916422280978,1956.54486742
1712102400000,2024-04-03 00:00:00,BAT/USD,0.28821,0.2947,0.27861,0.28625,2717.6195096871875,9493.86728275
1712016000000,2024-04-02 00:00:00,BAT/USD,0.31608,0.31608,0.28557,0.28852,2521.422789504785,8739.16120028
1711929600000,2024-04-01 00:00:00,BAT/USD,0.33578,0.34,0.30565,0.31532,6362.589132489457,20178.19717268
1711843200000,2024-03-31 00:00:00,BAT/USD,0.32866,0.33725,0.32538,0.33426,1506.3638803926444,4506.56339494
1711756800000,2024-03-30 00:00:00,BAT/USD,0.33058,0.33387,0.32455,0.32648,6684.9795473818895,20475.92363202
1711670400000,2024-03-29 00:00:00,BAT/USD,0.33548,0.33873,0.32436,0.33298,716.6170885540971,2152.1325261399998
1711584000000,2024-03-28 00:00:00,BAT/USD,0.33884,0.34,0.33,0.33609,9761.84444148283,29045.3284581
1711497600000,2024-03-27 00:00:00,BAT/USD,0.34315,0.35224,0.33121,0.33563,3275.0579033694285,9757.94149322
1711411200000,2024-03-26 00:00:00,BAT/USD,0.33522,0.3523,0.3334,0.34579,12798.897729584689,37013.49874081
1711324800000,2024-03-25 00:00:00,BAT/USD,0.31067,0.33734,0.30733,0.328,4451.82495312816,13572.63705222
1711238400000,2024-03-24 00:00:00,BAT/USD,0.29805,0.31189,0.29548,0.30989,1325.9415091281605,4278.74894036
1711152000000,2024-03-23 00:00:00,BAT/USD,0.29066,0.30347,0.28793,0.29655,3977.680164799455,13413.1855161
1711065600000,2024-03-22 00:00:00,BAT/USD,0.30212,0.30689,0.28388,0.28997,3721.0897899355705,12832.67162098
1710979200000,2024-03-21 00:00:00,BAT/USD,0.30034,0.30791,0.27522,0.30301,10303.293723235656,34003.14749756
1710892800000,2024-03-20 00:00:00,BAT/USD,0.26952,0.30123,0.26196,0.30117,4402.892215752369,14619.29214647
1710806400000,2024-03-19 00:00:00,BAT/USD,0.29699,0.29703,0.26518,0.27104,8676.423066090349,32011.59631822
1710720000000,2024-03-18 00:00:00,BAT/USD,0.31138,0.31717,0.29213,0.29838,3809.7948422575955,12768.26477062
