https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETC
1713225600000,2024-04-16 00:00:00,ETC/USD,26.392,26.834,25.091,26.211,58553.5093759331,2233.9288610099998
1713139200000,2024-04-15 00:00:00,ETC/USD,26.917,28.21,25.493,26.422,72432.88871304333,2741.38553906
1713052800000,2024-04-14 00:00:00,ETC/USD,25.529,27.162,24.623,27.073,183833.70870710758,6790.29692709
1712966400000,2024-04-13 00:00:00,ETC/USD,29.373,29.869,22.95,25.444,2011610.385856363,79060.30442762
1712880000000,2024-04-12 00:00:00,ETC/USD,33.817,34.051,26.151,29.596,535344.0262931864,18088.39121142
1712793600000,2024-04-11 00:00:00,ETC/USD,33.364,34.6,33.277,33.764,89779.63320235065,2659.03427326
1712707200000,2024-04-10 00:00:00,ETC/USD,32.961,33.603,31.565,33.458,29822.05045875592,891.32794724
1712620800000,2024-04-09 00:00:00,ETC/USD,35.8,35.8,32.6,32.792,276622.11827339535,8435.658644590001
1712534400000,2024-04-08 00:00:00,ETC/USD,33.81,35.895,33.293,35.711,180647.873191165,5058.6058410900005
1712448000000,2024-04-07 00:00:00,ETC/USD,33.549,34.786,33.187,33.881,213762.67501923858,6309.21976976
1712361600000,2024-04-06 00:00:00,ETC/USD,33.032,33.641,32.784,33.641,14165.23193525955,421.07047755
1712275200000,2024-04-05 00:00:00,ETC/USD,32.936,33.953,31.719,33.172,157683.19612820377,4753.50283758
1712188800000,2024-04-04 00:00:00,ETC/USD,30.575,33.192,30.073,32.688,65211.03068799745,1994.9532148800001
1712102400000,2024-04-03 00:00:00,ETC/USD,30.12,30.9,29.059,30.63,76383.4960558725,2493.74783075
1712016000000,2024-04-02 00:00:00,ETC/USD,32.653,32.653,29.853,29.945,791061.0453840261,26417.13292316
1711929600000,2024-04-01 00:00:00,ETC/USD,34.272,34.877,31.817,32.781,57987.75831030714,1768.94415394
1711843200000,2024-03-31 00:00:00,ETC/USD,32.896,34.494,32.855,34.308,136626.92760539195,3982.36351887
1711756800000,2024-03-30 00:00:00,ETC/USD,34.197,34.508,32.855,32.945,79491.4583387452,2412.85349336
1711670400000,2024-03-29 00:00:00,ETC/USD,32.446,34.962,31.698,34.222,441922.873143844,12913.41456209
1711584000000,2024-03-28 00:00:00,ETC/USD,31.737,32.85,31.495,32.494,298340.1587778335,9181.39221942
1711497600000,2024-03-27 00:00:00,ETC/USD,32.176,32.555,30.897,31.856,364164.07081930304,11431.56927484
1711411200000,2024-03-26 00:00:00,ETC/USD,32.365,33.186,31.785,32.165,178574.92525800725,5551.83974065
1711324800000,2024-03-25 00:00:00,ETC/USD,31.527,32.615,31.03,32.46,654341.5708521348,20158.39713038
1711238400000,2024-03-24 00:00:00,ETC/USD,30.229,31.745,30.229,31.632,299078.8981432896,9454.9474628
1711152000000,2024-03-23 00:00:00,ETC/USD,29.281,31.373,29.006,30.252,34032.46664583108,1124.96584179
1711065600000,2024-03-22 00:00:00,ETC/USD,30.292,30.712,28.424,29.367,133302.40078184407,4539.19027418
1710979200000,2024-03-21 00:00:00,ETC/USD,30.462,30.851,29.556,30.38,90935.98202300358,2993.28446422
1710892800000,2024-03-20 00:00:00,ETC/USD,27.949,30.72,26.912,30.611,100736.36695410071,3290.85514861
1710806400000,2024-03-19 00:00:00,ETC/USD,31.502,31.62,27.246,27.789,397816.668691994,14315.61656382
1710720000000,2024-03-18 00:00:00,ETC/USD,31.858,32.005,30.271,31.383,588538.8722519588,18753.42931689
1710633600000,2024-03-17 00:00:00,ETC/USD,30.83,32.339,29.406,31.929,159117.62014811227,4983.48273194
1710547200000,2024-03-16 00:00:00,ETC/USD,33.336,33.63,30.151,30.565,60486.8551994364,1978.95812856
1710460800000,2024-03-15 00:00:00,ETC/USD,35.13,35.49,30.794,33.268,383875.9425091107,11538.89450851
1710374400000,2024-03-14 00:00:00,ETC/USD,36.52,36.693,33.418,35.098,206540.68620511593,5884.68534404
1710288000000,2024-03-13 00:00:00,ETC/USD,36.856,37.557,35.764,36.556,342313.61826870416,9364.08847436
1710201600000,2024-03-12 00:00:00,ETC/USD,37.92,38.227,34.519,36.774,533697.4148598537,14512.90082286
1710115200000,2024-03-11 00:00:00,ETC/USD,36.106,39.5,34.148,37.92,814357.187683128,21475.66423215
1710028800000,2024-03-10 00:00:00,ETC/USD,37.035,37.624,35.208,35.991,39218.23488500613,1089.66783043
1709942400000,2024-03-09 00:00:00,ETC/USD,38.298,39.48,36.974,37.218,149568.36309515935,4018.71038463
1709856000000,2024-03-08 00:00:00,ETC/USD,38.285,39.371,36.786,38.021,84615.188066418,2225.48560181
1709769600000,2024-03-07 00:00:00,ETC/USD,37.576,38.361,35.904,37.96,62792.691075842,1654.18048145
1709683200000,2024-03-06 00:00:00,ETC/USD,34.139,38.27,32.98,37.2,191927.53304217602,5159.34228608
1709596800000,2024-03-05 00:00:00,ETC/USD,35.882,39.458,29.374,34.594,702183.2192921261,20297.83255166
1709510400000,2024-03-04 00:00:00,ETC/USD,33.613,36.672,33.091,35.899,739477.844324567,20598.84242805
1709424000000,2024-03-03 00:00:00,ETC/USD,33.895,35.81,30.885,33.644,432721.31061507243,12861.76764401
1709337600000,2024-03-02 00:00:00,ETC/USD,30.252,34.778,30.251,34.317,380168.24517759006,11078.13168918
1709251200000,2024-03-01 00:00:00,ETC/USD,29.007,30.283,29.007,30.24,50682.9765756384,1676.02435766
1709164800000,2024-02-29 00:00:00,ETC/USD,29.5,31.4,28.2,28.873,210765.7903892822,7299.75376266
1709078400000,2024-02-28 00:00:00,ETC/USD,28.113,31.0,23.212,29.573,414979.7110146129,14032.38464189
1708992000000,2024-02-27 00:00:00,ETC/USD,28.014,28.682,27.483,28.081,141775.37018270063,5048.80061902
1708905600000,2024-02-26 00:00:00,ETC/USD,27.107,27.957,26.491,27.716,194214.18312191896,7007.29481606
1708819200000,2024-02-25 00:00:00,ETC/USD,26.121,27.406,25.999,27.206,125031.20426086779,4595.72168863
1708732800000,2024-02-24 00:00:00,ETC/USD,25.399,26.187,25.111,26.144,109886.13381432544,4203.11099351
1708646400000,2024-02-23 00:00:00,ETC/USD,25.863,25.936,24.991,25.469,52032.61014298241,2042.97813589
1708560000000,2024-02-22 00:00:00,ETC/USD,26.029,26.363,25.456,25.813,53178.03740545372,2060.12619244
1708473600000,2024-02-21 00:00:00,ETC/USD,27.25,27.25,25.148,26.073,150169.7351141128,5759.58789223
1708387200000,2024-02-20 00:00:00,ETC/USD,27.632,27.632,25.869,27.007,44354.426277355386,1642.33073934
1708300800000,2024-02-19 00:00:00,ETC/USD,26.502,27.883,26.248,27.415,298245.3082181434,10878.90965596
1708214400000,2024-02-18 00:00:00,ETC/USD,26.012,26.708,25.743,26.536,88361.95474380329,3329.8897627300003
1708128000000,2024-02-17 00:00:00,ETC/USD,26.715,26.782,25.435,26.013,32058.185565661715,1232.39094167
